instance_type,vcpus,arch,memory_gb,storage_gb,storage_type,network,cost_per_hour_usd
t3a.nano,2,x86_64,0.5,0,none,Up to 5 Gigabit,0.0047
t3.nano,2,x86_64,0.5,0,none,Up to 5 Gigabit,0.0052
t3a.micro,2,x86_64,1,0,none,Up to 5 Gigabit,0.0094
t3.micro,2,x86_64,1,0,none,Up to 5 Gigabit,0.0104
t3a.small,2,x86_64,2,0,none,Up to 5 Gigabit,0.0188
t3.small,2,x86_64,2,0,none,Up to 5 Gigabit,0.0208
t3a.medium,2,x86_64,4,0,none,Up to 5 Gigabit,0.0376
t3.medium,2,x86_64,4,0,none,Up to 5 Gigabit,0.0416
c7a.medium,1,x86_64,2,0,none,Up to 12.5 Gigabit,0.05152
m7a.medium,1,x86_64,4,0,none,Up to 12.5 Gigabit,0.05796
t3a.large,2,x86_64,8,0,none,Up to 5 Gigabit,0.0752
r7a.medium,1,x86_64,8,0,none,Up to 12.5 Gigabit,0.07608
c6a.large,2,x86_64,4,0,none,Up to 12.5 Gigabit,0.0765
c5a.large,2,x86_64,4,0,none,Up to 10 Gigabit,0.077
t3.large,2,x86_64,8,0,none,Up to 5 Gigabit,0.0832
c5.large,2,x86_64,4,0,none,Up to 10 Gigabit,0.085
c5ad.large,2,x86_64,4,75,ssd,Up to 10 Gigabit,0.086
m5a.large,2,x86_64,8,0,none,Up to 10 Gigabit,0.086
m6a.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.0864
c7i.large,2,x86_64,4,0,none,Up to 12.5 Gigabit,0.08925
t2.large,2,x86_64,8,0,none,Low to Moderate,0.0928
c5d.large,2,x86_64,4,50,ssd,Up to 10 Gigabit,0.096
m5.large,2,x86_64,8,0,none,Up to 10 Gigabit,0.096
m6i.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.096
c4.large,2,x86_64,3.75,0,none,Moderate,0.1
m4.large,2,x86_64,8,0,none,Moderate,0.1
c6id.large,2,x86_64,4,118,ssd,Up to 12.5 Gigabit,0.1008
m7i.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.1008
r7a.large,2,x86_64,4,0,none,Up to 12.5 Gigabit,0.10264
m5ad.large,2,x86_64,8,75,ssd,Up to 10 Gigabit,0.103
m8i.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.10584
c5a.large,2,x86_64,5.3,0,none,Up to 25 Gigabit,0.108
m5d.large,2,x86_64,8,75,ssd,Up to 10 Gigabit,0.113
r5a.large,2,x86_64,16,0,none,Up to 10 Gigabit,0.113
c6n.large,2,x86_64,4,0,none,Up to 25 Gigabit,0.1134
r6a.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.1134
m7a.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.11592
m6id.large,2,x86_64,8,118,ssd,Up to 12.5 Gigabit,0.11865
m5n.large,2,x86_64,8,0,none,Up to 25 Gigabit,0.119
r5.large,2,x86_64,16,0,none,Up to 10 Gigabit,0.126
r6i.large,2,x86_64,16,0,none,Up to 12.5 Gigabit,0.126
r5ad.large,2,x86_64,16,75,ssd,Up to 10 Gigabit,0.131
r7i.large,2,x86_64,16,0,none,Up to 12.5 Gigabit,0.1323
m3.large,2,x86_64,7.5,32,ssd,Moderate,0.133
r4.large,2,x86_64,15.3,0,none,Up to 10 Gigabit,0.133
m5dn.large,2,x86_64,8,75,ssd,Up to 25 Gigabit,0.136
r8m.large,2,x86_64,8,0,none,Up to 12.5 Gigabit,0.13892
r6n.large,2,x86_64,16,0,none,Up to 25 Gigabit,0.13923
r5d.large,2,x86_64,16,75,ssd,Up to 10 Gigabit,0.144
r5b.large,2,x86_64,16,0,none,Up to 10 Gigabit,0.149
r5n.large,2,x86_64,16,0,none,Up to 25 Gigabit,0.149
t3a.xlarge,4,x86_64,16,0,none,Up to 5 Gigabit,0.1504
r6id.large,2,x86_64,16,118,ssd,Up to 12.5 Gigabit,0.1512
r7a.xlarge,4,x86_64,16,0,none,Up to 12.5 Gigabit,0.15215
c5a.xlarge,4,x86_64,8,0,none,Up to 12.5 Gigabit,0.153
c5a.xlarge,4,x86_64,8,0,none,Up to 10 Gigabit,0.154
i3.large,2,x86_64,15.3,475,ssd,Up to 10 Gigabit,0.156
m6idn.large,2,x86_64,8,118,ssd,Up to 25 Gigabit,0.15912
m5n.large,2,x86_64,8,0,none,Up to 25 Gigabit,0.1652
r3.large,2,x86_64,15,32,ssd,Moderate,0.166
t3.xlarge,4,x86_64,16,0,none,Up to 5 Gigabit,0.1664
r5dn.large,2,x86_64,16,75,ssd,Up to 25 Gigabit,0.167
c5.xlarge,4,x86_64,8,0,none,Up to 10 Gigabit,0.17
c6i.xlarge,4,x86_64,8,0,none,Up to 12.5 Gigabit,0.17
c5ad.xlarge,4,x86_64,8,150,ssd,Up to 10 Gigabit,0.172
i4i.large,2,x86_64,4,468,ssd,Up to 10 Gigabit,0.172
m5a.xlarge,4,x86_64,16,0,none,Up to 10 Gigabit,0.172
m6i.xlarge,4,x86_64,16,0,none,Up to 12.5 Gigabit,0.1728
r6n.xlarge,2,x86_64,16,0,none,Up to 25 Gigabit,0.17433
m1.xlarge,4,x86_64,7.5,840,hdd,Moderate,0.175
c7i.xlarge,4,x86_64,8,0,none,Up to 12.5 Gigabit,0.1785
t2.xlarge,4,x86_64,16,0,none,Moderate,0.1856
r7iz.large,2,x86_64,16,0,none,Up to 12.5 Gigabit,0.186
z1d.large,2,x86_64,16,75,ssd,Up to 10 Gigabit,0.186
i7i.2xlarge,8,x86_64,32,450,ssd,Up to 10 Gigabit,0.1888
c5d.xlarge,4,x86_64,8,100,ssd,Up to 10 Gigabit,0.192
m5.xlarge,4,x86_64,16,0,none,Up to 10 Gigabit,0.192
m6i.xlarge,4,x86_64,16,0,none,Up to 12.5 Gigabit,0.192
r6idn.large,2,x86_64,16,118,ssd,Up to 25 Gigabit,0.19539
c4.xlarge,4,x86_64,7.5,0,none,High,0.199
m4.xlarge,4,x86_64,16,0,none,High,0.2
c6id.xlarge,4,x86_64,8,237,ssd,Up to 12.5 Gigabit,0.2016
m7i.xlarge,4,x86_64,16,0,none,Up to 12.5 Gigabit,0.2016
g6f.xlarge,4,x86_64,16,100,ssd,Up to 10 Gigabit,0.202
c7a.xlarge,4,x86_64,8,0,none,Up to 12.5 Gigabit,0.20528
m5ad.xlarge,4,x86_64,16,150,ssd,Up to 10 Gigabit,0.206
c3.xlarge,4,x86_64,7.5,80,ssd,Moderate,0.21
m8i.xlarge,4,x86_64,16,0,none,Up to 12.5 Gigabit,0.21168
c5n.xlarge,4,x86_64,10.5,0,none,Up to 25 Gigabit,0.216
f5a.xlarge,4,x86_64,32,0,none,Up to 10 Gigabit,0.226
i3en.large,2,x86_64,16,1250,ssd,Up to 25 Gigabit,0.226
m5d.xlarge,4,x86_64,16,150,ssd,Up to 10 Gigabit,0.226
c6n.xlarge,4,x86_64,8,0,none,Up to 50 Gigabit,0.2268
r6a.xlarge,4,x86_64,32,0,none,Up to 12.5 Gigabit,0.2268
inf1.xlarge,4,x86_64,8,0,none,Up to 25 Gigabit,0.228
m7a.xlarge,4,x86_64,16,0,none,Up to 12.5 Gigabit,0.23104
m6id.xlarge,4,x86_64,16,237,ssd,Up to 12.5 Gigabit,0.2373
g6f.xlarge,4,x86_64,16,100,ssd,Up to 10 Gigabit,0.2375
m5n.xlarge,4,x86_64,16,0,none,Up to 25 Gigabit,0.238
m2.xlarge,2,x86_64,17.1,420,hdd,Moderate,0.245
r5.xlarge,4,x86_64,32,0,none,Up to 10 Gigabit,0.252
r6i.xlarge,4,x86_64,32,0,none,Up to 12.5 Gigabit,0.252
i7i.large,2,x86_64,16,1250,ssd,Up to 25 Gigabit,0.2599
r5ad.xlarge,4,x86_64,32,150,ssd,Up to 10 Gigabit,0.262
